text,label
"Где снега тропинки заметают, где вершины грозные стоят, эту песнь сложил и распевает альпинистов боевой отряд...",патриотические
"Грянем сталинскую песню о пехоте, песню про геройские советские штыки...",патриотические
"Бак пробит, хвост горит, и машина летит на честном слове и на одном крыле...",война
"И поет мне в землянке гармонь про улыбку твою и глаза...",тоска
"Мне дойти до тебя нелегко, все дороги пурга замела...",тоска
"Старинный вальс 'Осенний сон' играет гармонист...",война
"Прощай, любимый город, уходим завтра в море...",война
"Выпьем за тех, кто командовал ротами, кто умирал на снегу...",праздник
"Вот солдаты идут по степи опаленной...",патриотические
"Хмелел солдат слеза катилась, слеза несбывшихся надежд...",тоска
"В бой, за Сталина, вперед, вперед!",патриотические
"Боевую песню мы в года былые на штыке советском гордо пронесли...",победа
"…к которой по случаю военного времени были приделаны гимны СССР и США",патриотические
"Мы армию нашу растили в сраженьях. Захватчиков подлых с дороги сметем!",война
"Тех слов не забуду, врагов бью повсюду, чтоб вновь разлучить не смогли...",любовь
"Страна всенародного права на радость и счастье людей...",патриотические
"Об огнях, пожарищах, о друзьях-товарищах...",тоска
"Горит свечи огарочек...",тоска
"Так, так, так — говорит пулеметчик; так-так-так — говорит пулемет...",война
"...Киев бомбили, нам объявили, что началася война...",война
"Присели на досуге погреться у костра две девушки-подруги — связистка и сестра...",любовь
"Молодые, смелые ребята - на заре уходим мы в поход...",тоска
"Варшавская улица по городу идет...",победа
"Чуть горит зари полоска узкая...",тоска
"Жди меня, и я вернусь, только очень жди...",любовь
"Последний матрос Севастополь покинул, уходит от с волнами споря...",победа
"Долго ночка длится, лютый ветер злится...",тоска
"Что как подругу, мы Родину любим свою...",патриотические
"Эх, ребята, не впервой нам поить коней казацких из чужой реки...",победа
"Солдату на фронте тяжело без любимой...",тоска
"Ты ждешь, Лизавета, от друга привета...",любовь
"Артиллеристы, Сталин дал приказ...",война
"Ты - одессит, Мишка, а это значит что не страшны тебе ни горе ни беда...",патриотические
"В песне предлагается бить фашистских «козлов»...",победа
"Я уходил когда в поход в далекие края...",любовь
"И молодая не узнает, каков танкиста был конец...",война
"На полянке возле школы встали танки на привал...",любовь
"Играй, играй, рассказывай, тальяночка...",любовь
"Тост наш за Сталина, тост наш за партию, тост наш за знамя побед!",праздник
"Нас ведет в наступление Сталин, наши танки фашистов громят!",патриотические
"А в том что средь гула и пламени боя всегда в нашем сердце живут...",патриотические
"Вспомни годину ужаса, черных машин полет...",война
"На позиции девушка провожала бойца...",любовь
"Варварская версия «Огонек»...",любовь
"Уходили в поход партизаны, уходили в поход на врага...",война
"Чуть седой, как серебряный тополь, он стоит, принимая парад...",патриотические
"Ай да парень-паренек. В этом парне виден толк...",война
"Первым делом — самолеты... Ну а девушки? А девушки — потом!",любовь
"От ветров и водки хрипли наши глотки...",война
"Мы стальною стоим преградой, самой верной из всех преград...",патриотические
"Над пустынным рейдом Севастополя ни серпа луны, ни огонька...",война
"Десять винтовок на весь батальон, в каждой винтовке — последний патрон...",война
"А ну-ка дай жизни, Калуга, ходи веселей, Кострома!",патриотические
"Бьет фашистский сброд Украина-мать...",патриотические
"С бандой фашистов сразиться Сталин отважных зовет...",победа
"Лежал с простреленной боец рукою...",война
"Заварил там Гитлер кашу, расхлебать он не сумел...",победа
"И на вражьей земле мы врага разгромим беспощадным могучим ударом!",победа
"Пускай судьба забросит нас далеко, пускай...",тоска
"Растаял в далеком тумане Рыбачий, родимая наша земля...",тоска
"Иди любимый, мой родной, суровый день принес разлуку...",тоска
"Вставай, страна огромная, вставай на смертный бой!",патриотические
"«Вставай, страна огромная»! Поют жители освобожденной Германии",патриотические
"Кончится время лихое, с радостной вестью прийду...",тоска
"Но я знаю, что снова я у дома родного...",тоска
"Как-то летом на рассвете заглянул в соседний сад...",любовь
"Темная ночь, только пули свистят по степи...",тоска
"И когда вражьи танки помчатся, мы с тобою пойдем воевать...",патриотические
"...пыль да туман, холода, тревоги, да степной бурьян...",тоска
"Знаменитый советский марш, который звучал на каждом параде...",праздник
"То не гром грохочет в тучах и не молнии горят - это голосом могучим наши пушки говорят!",война
"Танкисты - приказу Сталина верны!",патриотические
"Смерть за смерть! Кровь за кровь! Бей врага у ворот Ленинграда!",война
